CaseID,Activity,Duration,Duration Float,Time to conclusion,Passed Time,Step
Case 4497,Closed,17 days 02:29:56,17.1041,0.0,23.8927,4
Case 4296,Assign seriousness,0 days 00:00:00,0.0,44.0032,0.0,1
Case 4296,Take in charge ticket,0 days 00:00:17,0.0002,44.003,43.9542,2
Case 4296,Resolve ticket,0 days 01:10:15,0.0488,43.9542,44.003,3
Case 4296,Closed,43 days 22:54:01,43.9542,0.0,44.0032,4
Case 3196,Insert ticket,0 days 00:00:00,0.0,49.9361,0.0,1
Case 3196,Assign seriousness,0 days 00:01:21,0.0009,49.9352,15.0002,2
Case 3196,Take in charge ticket,1 days 04:00:19,1.1669,48.7683,15.0004,3
Case 3196,Wait,0 days 00:00:35,0.0004,48.7679,48.7679,4
Case 3196,Take in charge ticket,33 days 18:25:15,33.7675,15.0004,48.7683,5
Case 3196,Resolve ticket,0 days 00:00:15,0.0002,15.0002,49.9352,6
Case 3196,Closed,15 days 00:00:20,15.0002,0.0,49.9361,7
Case 2845,Insert ticket,0 days 00:00:00,0.0,44.1227,-0.0,1
Case 2845,Assign seriousness,6 days 05:38:19,6.2349,37.8878,30.0002,2
Case 2845,Take in charge ticket,5 days 18:32:22,5.7725,32.1153,30.0004,3
Case 2845,Wait,1 days 04:37:49,1.1929,30.9224,30.9224,4
Case 2845,Take in charge ticket,0 days 22:07:44,0.922,30.0004,32.1153,5
Case 2845,Resolve ticket,0 days 00:00:13,0.0002,30.0002,37.8878,6
Case 2845,Closed,30 days 00:00:21,30.0002,-0.0,44.1227,7
Case 2114,Assign seriousness,0 days 00:00:00,0.0,54.733,0.0,1
Case 2114,Take in charge ticket,0 days 00:14:48,0.0103,54.7227,15.0001,2
Case 2114,Create SW anomaly,0 days 00:00:39,0.0005,54.7222,54.7222,3
Case 2114,Resolve ticket,39 days 17:19:49,39.7221,15.0001,54.7227,4
Case 2114,Closed,15 days 00:00:11,15.0001,0.0,54.733,5
Case 3603,Assign seriousness,0 days 00:00:00,0.0,31.0054,0.0,1
Case 3603,Take in charge ticket,11 days 23:39:23,11.9857,19.0197,19.0195,2
Case 3603,Resolve ticket,0 days 00:00:13,0.0002,19.0195,19.0197,3
Case 3603,Closed,19 days 00:28:04,19.0195,0.0,31.0054,4
Case 2418,Insert ticket,0 days 00:00:00,0.0,47.9638,-0.0,1
Case 2418,Assign seriousness,0 days 00:00:42,0.0005,47.9633,15.0002,2
Case 2418,Take in charge ticket,0 days 00:00:12,0.0001,47.9632,18.0339,3
Case 2418,Wait,0 days 00:00:19,0.0002,47.963,47.963,4
Case 2418,Take in charge ticket,29 days 22:17:53,29.9291,18.0339,47.9632,5
Case 2418,Resolve ticket,3 days 00:48:28,3.0337,15.0002,47.9633,6
Case 2418,Closed,15 days 00:00:14,15.0002,-0.0,47.9638,7
Case 2320,Assign seriousness,0 days 00:00:00,0.0,34.0055,-0.0,1
Case 2320,Take in charge ticket,0 days 00:00:12,0.0001,34.0054,33.9936,2
Case 2320,Resolve ticket,0 days 00:17:01,0.0118,33.9936,34.0054,3
Case 2320,Closed,33 days 23:50:48,33.9936,-0.0,34.0055,4
Case 1044,Assign seriousness,0 days 00:00:00,0.0,44.0036,0.0,1
Case 1044,Take in charge ticket,4 days 01:35:47,4.0665,39.9371,39.2239,2
Case 1044,Resolve ticket,0 days 00:49:24,0.0343,39.9028,39.2252,3
Case 1044,Take in charge ticket,0 days 15:10:51,0.6325,39.2703,39.2539,4
Case 1044,Wait,0 days 00:23:41,0.0164,39.2539,39.2703,5
Case 1044,Take in charge ticket,0 days 00:41:21,0.0287,39.2252,39.9028,6
Case 1044,Resolve ticket,0 days 00:01:52,0.0013,39.2239,39.9371,7
Case 1044,Closed,39 days 05:22:23,39.2239,0.0,44.0036,8
Case 2828,Assign seriousness,0 days 00:00:00,0.0,33.0053,0.0,1
Case 2828,Take in charge ticket,5 days 02:19:44,5.097,27.9083,27.2391,2
Case 2828,Wait,0 days 00:00:29,0.0003,27.908,27.2405,3
Case 2828,Take in charge ticket,0 days 16:01:15,0.6675,27.2405,27.908,4
Case 2828,Resolve ticket,0 days 00:02:03,0.0014,27.2391,27.9083,5
Case 2828,Closed,27 days 05:44:14,27.2391,0.0,33.0053,6
Case 3590,Assign seriousness,4 days 23:53:12,4.9953,30.2175,0.0,1
Case 3590,Take in charge ticket,2 days 01:31:33,2.0636,28.1539,15.0001,2
Case 3590,Schedule intervention,4 days 02:38:02,4.1097,24.0442,24.0442,3
Case 3590,Resolve ticket,9 days 01:03:32,9.0441,15.0001,28.1539,4
Case 3590,Closed,15 days 00:00:12,15.0001,0.0,30.2175,5
Case 294,Assign seriousness,0 days 00:00:00,0.0,37.0039,0.0,1
Case 294,Take in charge ticket,0 days 00:07:01,0.0049,36.999,36.9837,2
Case 294,Resolve ticket,0 days 00:22:00,0.0153,36.9837,36.999,3
Case 294,Closed,36 days 23:36:29,36.9837,0.0,37.0039,4
Case 1853,Assign seriousness,0 days 00:00:00,0.0,51.0955,0.0,1
Case 1853,Take in charge ticket,15 days 07:39:01,15.3188,35.7767,30.0003,2
Case 1853,Resolve ticket,5 days 18:37:58,5.7764,30.0003,35.7767,3
Case 1853,Closed,30 days 00:00:26,30.0003,0.0,51.0955,4
Case 2288,Assign seriousness,0 days 00:00:00,0.0,32.2753,0.0,1
Case 2288,Take in charge ticket,17 days 06:35:57,17.275,15.0003,15.0002,2
Case 2288,Resolve ticket,0 days 00:00:06,0.0001,15.0002,15.0003,3
Case 2288,Closed,15 days 00:00:15,15.0002,0.0,32.2753,4
Case 2340,Assign seriousness,0 days 00:00:00,0.0,37.0033,0.0,1
Case 2340,Take in charge ticket,0 days 02:08:25,0.0892,36.9141,36.7506,2
Case 2340,Resolve ticket,0 days 03:55:29,0.1635,36.7506,36.9141,3
Case 2340,Closed,36 days 18:00:48,36.7506,0.0,37.0033,4
Case 3350,Assign seriousness,0 days 00:00:00,0.0,37.0023,0.0,1
Case 3350,Take in charge ticket,0 days 00:13:10,0.0091,36.9932,36.9889,2
Case 3350,Resolve ticket,0 days 00:06:13,0.0043,36.9889,36.9932,3
Case 3350,Closed,36 days 23:44:02,36.9889,0.0,37.0023,4
Case 4345,Assign seriousness,0 days 00:00:00,0.0,32.0067,0.0,1
Case 4345,Take in charge ticket,0 days 03:06:17,0.1294,31.8773,31.8694,2
Case 4345,Resolve ticket,0 days 00:11:19,0.0079,31.8694,31.8773,3
Case 4345,Closed,31 days 20:51:55,31.8694,0.0,32.0067,4
Case 2412,Assign seriousness,0 days 00:00:00,0.0,32.0042,-0.0,1
Case 2412,Take in charge ticket,0 days 02:26:30,0.1017,31.9025,31.9022,2
Case 2412,Resolve ticket,0 days 00:00:30,0.0003,31.9022,31.9025,3
Case 2412,Closed,31 days 21:39:11,31.9022,-0.0,32.0042,4
Case 3615,Insert ticket,0 days 00:00:00,0.0,32.0061,0.0,1
Case 3615,Assign seriousness,0 days 00:00:21,0.0002,32.0059,32.0045,2
Case 3615,Take in charge ticket,0 days 00:00:45,0.0005,32.0054,32.0054,3
Case 3615,Resolve ticket,0 days 00:01:14,0.0009,32.0045,32.0059,4
Case 3615,Closed,32 days 00:06:28,32.0045,0.0,32.0061,5
Case 2863,Assign seriousness,2 days 16:41:02,2.6952,56.2585,-0.0,1
Case 2863,Wait,0 days 00:00:17,0.0002,56.2583,15.0001,2
Case 2863,Take in charge ticket,0 days 00:01:19,0.0009,56.2574,56.2574,3
Case 2863,Resolve ticket,41 days 06:10:27,41.2573,15.0001,56.2583,4
Case 2863,Closed,15 days 00:00:11,15.0001,-0.0,56.2585,5
Case 1283,Assign seriousness,0 days 00:00:00,0.0,44.0068,-0.0,1
Case 1283,Take in charge ticket,7 days 18:09:55,7.7569,36.2499,36.2498,2
Case 1283,Resolve ticket,0 days 00:00:11,0.0001,36.2498,36.2499,3
Case 1283,Closed,36 days 05:59:39,36.2498,-0.0,44.0068,4
Case 1807,Assign seriousness,0 days 00:00:00,0.0,47.0066,0.0,1
Case 1807,Take in charge ticket,0 days 00:00:35,0.0004,47.0062,47.0056,2
Case 1807,Resolve ticket,0 days 00:00:50,0.0006,47.0056,47.0062,3
Case 1807,Closed,47 days 00:08:06,47.0056,0.0,47.0066,4
Case 2507,Assign seriousness,0 days 00:00:00,0.0,44.0007,0.0,1
Case 2507,Take in charge ticket,0 days 00:21:20,0.0148,43.9859,43.9848,2
Case 2507,Resolve ticket,0 days 00:01:37,0.0011,43.9848,43.9859,3
Case 2507,Closed,43 days 23:38:08,43.9848,0.0,44.0007,4
Case 1499,Assign seriousness,0 days 00:00:00,0.0,31.8885,0.0,1
Case 1499,Take in charge ticket,0 days 18:33:26,0.7732,31.1153,15.0002,2
Case 1499,Wait,0 days 01:02:35,0.0435,31.0718,15.0003,3
Case 1499,Take in charge ticket,0 days 02:54:15,0.121,30.9508,21.9101,4
Case 1499,Wait,0 days 00:45:14,0.0314,30.9194,21.9285,5
Case 1499,Take in charge ticket,1 days 23:22:38,1.9741,28.9453,23.1973,6
Case 1499,Wait,0 days 00:11:07,0.0077,28.9376,23.1986,7
Case 1499,Take in charge ticket,5 days 17:44:09,5.739,23.1986,28.9376,8
Case 1499,Resolve ticket,0 days 00:01:55,0.0013,23.1973,28.9453,9
Case 1499,Take in charge ticket,1 days 06:27:05,1.2688,21.9285,30.9194,10
Case 1499,Wait,0 days 00:26:32,0.0184,21.9101,30.9508,11
Case 1499,Take in charge ticket,6 days 21:50:09,6.9098,15.0003,31.0718,12
Case 1499,Resolve ticket,0 days 00:00:07,0.0001,15.0002,31.1153,13
Case 1499,Closed,15 days 00:00:15,15.0002,0.0,31.8885,14
Case 1021,Assign seriousness,0 days 00:00:00,0.0,38.0013,0.0,1
Case 1021,Take in charge ticket,0 days 17:08:30,0.7142,37.2871,36.1971,2
Case 1021,Resolve ticket,1 days 02:09:33,1.09,36.1971,37.2871,3
Case 1021,Closed,36 days 04:43:51,36.1971,0.0,38.0013,4
Case 1757,Assign seriousness,0 days 00:00:00,0.0,36.238,0.0,1
Case 1757,Take in charge ticket,0 days 00:07:52,0.0055,36.2325,15.0002,2
Case 1757,Resolve ticket,0 days 00:00:18,0.0002,36.2323,35.9783,3
Case 1757,Take in charge ticket,0 days 02:15:53,0.0944,36.1379,36.1379,4
Case 1757,Create SW anomaly,0 days 03:49:53,0.1596,35.9783,36.2323,5
Case 1757,Resolve ticket,20 days 23:28:32,20.9781,15.0002,36.2325,6
Case 1757,Closed,15 days 00:00:17,15.0002,0.0,36.238,7
Case 1821,Assign seriousness,0 days 00:00:00,0.0,33.9961,-0.0,1
Case 1821,Take in charge ticket,1 days 22:18:54,1.9298,32.0663,19.0889,2
Case 1821,Wait,0 days 04:05:56,0.1708,31.8955,28.8383,3
Case 1821,Take in charge ticket,3 days 01:22:26,3.0572,28.8383,31.8955,4
Case 1821,Resolve ticket,9 days 17:59:09,9.7494,19.0889,32.0663,5
Case 1821,Closed,19 days 02:07:59,19.0889,-0.0,33.9961,6
Case 4285,Insert ticket,0 days 00:00:00,0.0,34.0041,-0.0,1
Case 4285,Assign seriousness,0 days 00:00:42,0.0005,34.0036,18.9871,2
Case 4285,Take in charge ticket,12 days 21:33:42,12.8984,21.1052,18.9873,3
Case 4285,Wait,0 days 00:01:27,0.001,21.1042,21.1042,4
Case 4285,Take in charge ticket,2 days 02:48:17,2.1169,18.9873,21.1052,5
Case 4285,Resolve ticket,0 days 00:00:15,0.0002,18.9871,34.0036,6
Case 4285,Closed,18 days 23:41:27,18.9871,-0.0,34.0041,7
Case 3580,Assign seriousness,0 days 00:00:00,0.0,34.7498,0.0,1
Case 3580,Take in charge ticket,7 days 17:14:35,7.7185,27.0313,15.0001,2
Case 3580,Resolve ticket,0 days 04:17:46,0.179,26.8523,15.9683,3
Case 3580,Take in charge ticket,10 days 21:13:00,10.884,15.9683,26.8523,4
Case 3580,Resolve ticket,0 days 23:14:10,0.9682,15.0001,27.0313,5
Case 3580,Closed,15 days 00:00:09,15.0001,0.0,34.7498,6
Case 183,Insert ticket,0 days 00:00:00,0.0,37.0011,0.0,1
Case 183,Assign seriousness,0 days 16:44:58,0.6979,36.3032,32.328,2
Case 183,Take in charge ticket,3 days 23:22:10,3.9737,32.3295,32.3295,3
Case 183,Resolve ticket,0 days 00:02:12,0.0015,32.328,36.3032,4
Case 183,Closed,32 days 07:52:21,32.328,0.0,37.0011,5
Case 182,Assign seriousness,0 days 00:00:00,0.0,34.0061,-0.0,1
Case 182,Take in charge ticket,4 days 02:23:45,4.0998,29.9063,29.9031,2
Case 182,Resolve ticket,0 days 00:04:40,0.0032,29.9031,29.9063,3
Case 182,Closed,29 days 21:40:28,29.9031,-0.0,34.0061,4
Case 2208,Assign seriousness,0 days 00:00:00,0.0,40.227,0.0,1
Case 2208,Take in charge ticket,0 days 00:25:44,0.0179,40.2091,15.0002,2
Case 2208,Resolve ticket,25 days 05:00:45,25.2089,15.0002,40.2091,3
Case 2208,Closed,15 days 00:00:13,15.0002,0.0,40.227,4
Case 1184,Assign seriousness,0 days 00:00:00,0.0,34.001,-0.0,1
Case 1184,Take in charge ticket,6 days 02:14:08,6.0931,27.9079,27.9069,2
Case 1184,Resolve ticket,0 days 00:01:25,0.001,27.9069,27.9079,3
Case 1184,Closed,27 days 21:45:58,27.9069,-0.0,34.001,4
Case 3386,Assign seriousness,0 days 00:00:00,0.0,32.0049,0.0,1
Case 3386,Take in charge ticket,3 days 05:54:06,3.2459,28.759,21.9961,2
Case 3386,Create SW anomaly,0 days 00:00:11,0.0001,28.7589,28.7589,3
Case 3386,Resolve ticket,6 days 18:18:25,6.7628,21.9961,28.759,4
Case 3386,Closed,21 days 23:54:20,21.9961,0.0,32.0049,5
Case 2671,Assign seriousness,0 days 00:00:00,0.0,34.0045,0.0,1
Case 2671,Take in charge ticket,4 days 02:06:01,4.0875,29.917,29.9167,2
Case 2671,Resolve ticket,0 days 00:00:27,0.0003,29.9167,29.917,3
Case 2671,Closed,29 days 22:00:07,29.9167,0.0,34.0045,4
Case 4263,Assign seriousness,0 days 00:00:00,0.0,31.9527,0.0,1
Case 4263,Take in charge ticket,5 days 15:02:45,5.6269,26.3258,26.1778,2
Case 4263,Wait,0 days 02:53:37,0.1206,26.2052,26.1779,3
Case 4263,Take in charge ticket,0 days 00:39:18,0.0273,26.1779,26.2052,4
Case 4263,Resolve ticket,0 days 00:00:09,0.0001,26.1778,26.3258,5
Case 4263,Closed,26 days 04:16:00,26.1778,0.0,31.9527,6
Case 1211,Assign seriousness,11 days 00:38:43,11.0269,20.9766,0.0,1
Case 1211,Take in charge ticket,0 days 00:00:11,0.0001,20.9765,20.9755,2
Case 1211,Resolve ticket,0 days 00:01:29,0.001,20.9755,20.9765,3
Case 1211,Closed,20 days 23:24:42,20.9755,0.0,20.9766,4
Case 278,Assign seriousness,0 days 00:00:00,0.0,43.9806,-0.0,1
Case 278,Wait,1 days 02:42:59,1.1132,42.8674,15.0001,2
Case 278,Take in charge ticket,21 days 17:08:01,21.7139,21.1535,15.891,3
Case 278,Wait,0 days 00:00:14,0.0002,21.1533,21.1533,4
Case 278,Take in charge ticket,5 days 06:17:43,5.2623,15.891,21.1535,5
Case 278,Resolve ticket,0 days 21:22:57,0.8909,15.0001,42.8674,6
Case 278,Closed,15 days 00:00:11,15.0001,-0.0,43.9806,7
Case 2423,Assign seriousness,0 days 00:00:00,0.0,32.0039,0.0,1
Case 2423,Take in charge ticket,13 days 20:29:49,13.854,18.1499,18.1477,2
Case 2423,Resolve ticket,0 days 00:03:07,0.0022,18.1477,18.1499,3
Case 2423,Closed,18 days 03:32:41,18.1477,0.0,32.0039,4
Case 1151,Assign seriousness,0 days 00:00:00,0.0,50.9888,0.0,1
Case 1151,Take in charge ticket,35 days 23:37:08,35.9841,15.0047,15.0002,2
Case 1151,Resolve ticket,0 days 00:06:31,0.0045,15.0002,15.0047,3
Case 1151,Closed,15 days 00:00:20,15.0002,0.0,50.9888,4
Case 2638,Assign seriousness,0 days 00:00:00,0.0,32.0084,-0.0,1
Case 2638,Take in charge ticket,0 days 00:00:44,0.0005,32.0079,22.8883,2
Case 2638,Create SW anomaly,0 days 03:31:50,0.1471,31.8608,31.8608,3
Case 2638,Resolve ticket,8 days 23:20:24,8.9725,22.8883,32.0079,4
Case 2638,Closed,22 days 21:19:05,22.8883,-0.0,32.0084,5
Case 3780,Assign seriousness,7 days 08:44:28,7.3642,31.6405,-0.0,1
Case 3780,Take in charge ticket,0 days 00:00:11,0.0001,31.6404,31.6396,2
Case 3780,Resolve ticket,0 days 00:01:11,0.0008,31.6396,31.6404,3
Case 3780,Closed,31 days 15:21:00,31.6396,-0.0,31.6405,4
Case 1585,Assign seriousness,0 days 00:00:00,0.0,39.0023,0.0,1
Case 1585,Take in charge ticket,3 days 04:36:02,3.1917,35.8106,35.8103,2
Case 1585,Resolve ticket,0 days 00:00:26,0.0003,35.8103,35.8106,3
Case 1585,Closed,35 days 19:26:52,35.8103,0.0,39.0023,4
Case 1012,Assign seriousness,0 days 00:00:00,0.0,32.0041,0.0,1
Case 1012,Take in charge ticket,3 days 00:23:41,3.0164,28.9877,28.9873,2
Case 1012,Resolve ticket,0 days 00:00:36,0.0004,28.9873,28.9877,3
Case 1012,Closed,28 days 23:41:41,28.9873,0.0,32.0041,4
Case 3566,Assign seriousness,0 days 00:00:00,0.0,50.8566,0.0,1
Case 3566,Take in charge ticket,1 days 23:47:35,1.9914,48.8652,15.0002,2
Case 3566,Resolve ticket,33 days 20:45:33,33.865,15.0002,48.8652,3
Case 3566,Closed,15 days 00:00:13,15.0002,0.0,50.8566,4
Case 858,Assign seriousness,0 days 00:00:00,0.0,45.0034,0.0,1
Case 858,Take in charge ticket,0 days 00:00:17,0.0002,45.0032,44.9538,2
Case 858,Resolve ticket,0 days 01:11:09,0.0494,44.9538,45.0032,3
Case 858,Closed,44 days 22:53:27,44.9538,0.0,45.0034,4
Case 2649,Assign seriousness,0 days 00:00:39,0.0005,34.0026,0.0,1
Case 2649,Take in charge ticket,0 days 01:25:29,0.0594,33.9432,33.9163,2
Case 2649,Resolve ticket,0 days 00:38:44,0.0269,33.9163,33.9432,3
Case 2649,Closed,33 days 21:59:26,33.9163,0.0,34.0026,4
Case 3522,Assign seriousness,0 days 00:00:00,0.0,34.0022,0.0,1
Case 3522,Take in charge ticket,0 days 00:12:19,0.0086,33.9936,33.9934,2
Case 3522,Resolve ticket,0 days 00:00:14,0.0002,33.9934,33.9936,3
Case 3522,Closed,33 days 23:50:30,33.9934,0.0,34.0022,4
Case 3230,Assign seriousness,0 days 00:00:00,0.0,45.0031,0.0,1
Case 3230,Take in charge ticket,0 days 00:35:27,0.0246,44.9785,44.0217,2
Case 3230,Resolve ticket,0 days 22:57:50,0.9568,44.0217,44.9785,3
Case 3230,Closed,44 days 00:31:13,44.0217,0.0,45.0031,4
Case 3368,Assign seriousness,0 days 00:00:00,0.0,53.0066,0.0,1
Case 3368,Take in charge ticket,1 days 01:17:48,1.054,51.9526,51.233,2
Case 3368,Resolve ticket,0 days 17:16:10,0.7196,51.233,51.9526,3
Case 3368,Closed,51 days 05:35:32,51.233,0.0,53.0066,4
Case 3850,Assign seriousness,0 days 00:00:00,0.0,34.003,0.0,1
Case 3850,Take in charge ticket,0 days 21:32:49,0.8978,33.1052,32.2881,2
Case 3850,Resolve ticket,0 days 19:36:38,0.8171,32.2881,33.1052,3
Case 3850,Closed,32 days 06:54:49,32.2881,0.0,34.003,4
Case 2544,Insert ticket,0 days 00:00:00,0.0,34.0043,0.0,1
Case 2544,Assign seriousness,15 days 02:11:10,15.0911,18.9132,18.913,2
Case 2544,Take in charge ticket,0 days 00:00:11,0.0001,18.9131,18.9131,3
Case 2544,Resolve ticket,0 days 00:00:12,0.0001,18.913,18.9132,4
Case 2544,Closed,18 days 21:54:40,18.913,0.0,34.0043,5
Case 2909,Insert ticket,0 days 00:00:00,0.0,34.0483,0.0,1
Case 2909,Assign seriousness,0 days 03:54:13,0.1627,33.8856,30.0002,2
Case 2909,Wait,0 days 01:12:38,0.0504,33.8352,30.0089,3
Case 2909,Take in charge ticket,0 days 02:15:30,0.0941,33.7411,33.0886,4
Case 2909,Resolve ticket,0 days 15:39:37,0.6525,33.0886,33.7411,5
Case 2909,Take in charge ticket,3 days 01:54:42,3.0797,30.0089,33.8352,6
Case 2909,Resolve ticket,0 days 00:12:33,0.0087,30.0002,33.8856,7
Case 2909,Closed,30 days 00:00:19,30.0002,0.0,34.0483,8
Case 2136,Assign seriousness,8 days 04:08:57,8.1729,25.8286,0.0,1
Case 2136,Take in charge ticket,0 days 00:00:14,0.0002,25.8284,25.8282,2
Case 2136,Resolve ticket,0 days 00:00:17,0.0002,25.8282,25.8284,3
Case 2136,Closed,25 days 19:52:35,25.8282,0.0,25.8286,4
Case 2954,Assign seriousness,0 days 00:00:00,0.0,49.0038,0.0,1
Case 2954,Take in charge ticket,0 days 00:01:30,0.001,49.0028,48.141,2
Case 2954,Resolve ticket,0 days 20:40:59,0.8618,48.141,49.0028,3
Case 2954,Closed,48 days 03:23:05,48.141,0.0,49.0038,4
Case 1402,Insert ticket,0 days 00:00:00,0.0,49.0019,0.0,1
Case 1402,Assign seriousness,0 days 19:05:17,0.7953,48.2066,30.9295,2
Case 1402,Take in charge ticket,17 days 01:40:17,17.0696,31.137,31.137,3
Case 1402,Resolve ticket,0 days 04:58:47,0.2075,30.9295,48.2066,4
Case 1402,Closed,30 days 22:18:31,30.9295,0.0,49.0019,5
Case 1284,Insert ticket,0 days 00:00:00,0.0,38.0046,0.0,1
Case 1284,Assign seriousness,0 days 01:34:02,0.0653,37.9393,37.203,2
Case 1284,Take in charge ticket,0 days 00:00:09,0.0001,37.9392,37.9392,3
Case 1284,Resolve ticket,0 days 17:40:04,0.7362,37.203,37.9393,4
Case 1284,Closed,37 days 04:52:18,37.203,0.0,38.0046,5
Case 1850,Assign seriousness,0 days 00:00:00,0.0,49.0004,-0.0,1
Case 1850,Wait,3 days 16:00:27,3.667,45.3334,31.2501,2
Case 1850,Take in charge ticket,14 days 01:58:22,14.0822,31.2512,31.2512,3
Case 1850,Resolve ticket,0 days 00:01:36,0.0011,31.2501,45.3334,4
Case 1850,Closed,31 days 06:00:10,31.2501,-0.0,49.0004,5
Case 2562,Insert ticket,0 days 00:00:00,0.0,41.0018,0.0,1
Case 2562,Assign seriousness,1 days 00:25:12,1.0175,39.9843,36.2337,2
Case 2562,Take in charge ticket,0 days 00:00:16,0.0002,39.9841,39.9841,3
Case 2562,Resolve ticket,3 days 18:00:38,3.7504,36.2337,39.9843,4
Case 2562,Closed,36 days 05:36:35,36.2337,0.0,41.0018,5
Case 918,Assign seriousness,0 days 00:00:00,0.0,32.0003,-0.0,1
Case 918,Take in charge ticket,3 days 23:40:48,3.9867,28.0136,21.8295,2
Case 918,Resolve ticket,6 days 04:25:09,6.1841,21.8295,28.0136,3
Case 918,Closed,21 days 19:54:32,21.8295,-0.0,32.0003,4
Case 572,Assign seriousness,0 days 00:00:00,0.0,31.9988,0.0,1
Case 572,Wait,0 days 03:22:17,0.1405,31.8583,29.0851,2
Case 572,Take in charge ticket,0 days 00:32:38,0.0227,31.8356,29.0862,3
Case 572,Resolve ticket,0 days 00:00:10,0.0001,31.8355,31.7768,4
Case 572,Take in charge ticket,0 days 00:40:31,0.0281,31.8074,31.8074,5
Case 572,Wait,0 days 00:44:08,0.0306,31.7768,31.8355,6
Case 572,Take in charge ticket,2 days 16:34:32,2.6906,29.0862,31.8356,7
Case 572,Resolve ticket,0 days 00:01:33,0.0011,29.0851,31.8583,8
Case 572,Closed,29 days 02:02:29,29.0851,0.0,31.9988,9
Case 702,Assign seriousness,0 days 00:00:00,0.0,47.0047,0.0,1
Case 702,Take in charge ticket,0 days 00:00:18,0.0002,47.0045,46.8439,2
Case 702,Resolve ticket,0 days 03:51:16,0.1606,46.8439,47.0045,3
Case 702,Closed,46 days 20:15:15,46.8439,0.0,47.0047,4
Case 2272,Assign seriousness,0 days 01:05:25,0.0454,31.9575,-0.0,1
Case 2272,Take in charge ticket,2 days 19:28:39,2.8116,29.1459,29.0882,2
Case 2272,Resolve ticket,0 days 01:23:01,0.0577,29.0882,29.1459,3
Case 2272,Closed,29 days 02:07:02,29.0882,-0.0,31.9575,4
Case 2812,Assign seriousness,0 days 00:00:00,0.0,51.0724,0.0,1
Case 2812,Wait,0 days 01:06:53,0.0464,51.026,30.0002,2
Case 2812,Take in charge ticket,21 days 00:37:01,21.0257,30.0003,30.0003,3
Case 2812,Resolve ticket,0 days 00:00:07,0.0001,30.0002,51.026,4
Case 2812,Closed,30 days 00:00:19,30.0002,0.0,51.0724,5
Case 3541,Insert ticket,0 days 00:00:00,0.0,53.0026,0.0,1
Case 3541,Assign seriousness,0 days 00:00:55,0.0006,53.002,53.0013,2
Case 3541,Take in charge ticket,0 days 00:00:06,0.0001,53.0019,53.0019,3
Case 3541,Resolve ticket,0 days 00:00:53,0.0006,53.0013,53.002,4
Case 3541,Closed,53 days 00:01:51,53.0013,0.0,53.0026,5
Case 1333,Assign seriousness,0 days 00:00:00,0.0,32.0046,-0.0,1
Case 1333,Take in charge ticket,3 days 01:23:03,3.0577,28.9469,23.8419,2
Case 1333,Wait,0 days 02:55:33,0.1219,28.825,23.842,3
Case 1333,Take in charge ticket,4 days 23:35:29,4.983,23.842,28.825,4
Case 1333,Resolve ticket,0 days 00:00:08,0.0001,23.8419,28.9469,5
Case 1333,Closed,23 days 20:12:19,23.8419,-0.0,32.0046,6
Case 2411,Assign seriousness,0 days 00:00:00,0.0,32.0249,0.0,1
Case 2411,Take in charge ticket,9 days 02:25:34,9.1011,22.9238,19.016,2
Case 2411,Resolve ticket,0 days 00:00:17,0.0002,22.9236,19.2398,3
Case 2411,Take in charge ticket,3 days 16:24:36,3.6838,19.2398,22.9236,4
Case 2411,Resolve ticket,0 days 05:22:13,0.2238,19.016,22.9238,5
Case 2411,Closed,19 days 00:23:04,19.016,0.0,32.0249,6
Case 1851,Assign seriousness,0 days 00:00:00,0.0,45.0027,0.0,1
Case 1851,Take in charge ticket,0 days 03:17:36,0.1372,44.8655,44.8653,2
Case 1851,Resolve ticket,0 days 00:00:15,0.0002,44.8653,44.8655,3
Case 1851,Closed,44 days 20:46:04,44.8653,0.0,45.0027,4
Case 2467,Assign seriousness,0 days 00:00:00,0.0,33.0059,0.0,1
Case 2467,Take in charge ticket,0 days 23:26:21,0.9766,32.0293,26.9691,2
Case 2467,Wait,0 days 00:07:39,0.0053,32.024,26.9692,3
Case 2467,Take in charge ticket,5 days 01:18:51,5.0548,26.9692,32.024,4
Case 2467,Resolve ticket,0 days 00:00:07,0.0001,26.9691,32.0293,5
Case 2467,Closed,26 days 23:15:28,26.9691,0.0,33.0059,6
Case 1973,Insert ticket,0 days 00:00:00,0.0,44.0054,-0.0,1
Case 1973,Assign seriousness,0 days 16:47:15,0.6995,43.3059,31.2405,2
Case 1973,Take in charge ticket,5 days 08:09:17,5.3398,37.9661,37.9661,3
Case 1973,Resolve ticket,6 days 17:24:52,6.7256,31.2405,43.3059,4
Case 1973,Closed,31 days 05:46:15,31.2405,-0.0,44.0054,5
Case 2829,Assign seriousness,0 days 00:00:00,0.0,33.0041,0.0,1
Case 2829,Take in charge ticket,0 days 05:33:46,0.2318,32.7723,32.7721,2
Case 2829,Resolve ticket,0 days 00:00:16,0.0002,32.7721,32.7723,3
Case 2829,Closed,32 days 18:31:52,32.7721,0.0,33.0041,4
Case 1322,Assign seriousness,0 days 00:00:00,0.0,32.2845,0.0,1
Case 1322,Take in charge ticket,0 days 00:57:53,0.0402,32.2443,15.0001,2
Case 1322,Wait,0 days 00:00:20,0.0002,32.2441,15.0002,3
